captured_at,date,sport,home_team,away_team,market,book,home_odds,away_odds,over_odds,under_odds,total_line
2026-07-03T20:41:40,2026-07-03,MLB,Chicago Cubs,St. Louis Cardinals,moneyline,fanduel,-146,114,,,
2026-07-03T20:41:40,2026-07-03,MLB,Chicago Cubs,St. Louis Cardinals,spread,fanduel,144,-194,,,
2026-07-03T20:41:40,2026-07-03,MLB,Chicago Cubs,St. Louis Cardinals,total,fanduel,,,104,-138,9.5
2026-07-03T20:41:40,2026-07-03,MLB,Chicago Cubs,St. Louis Cardinals,moneyline,draftkings,-135,104,,,
2026-07-03T20:41:40,2026-07-03,MLB,Chicago Cubs,St. Louis Cardinals,spread,draftkings,160,-213,,,
2026-07-03T20:41:40,2026-07-03,MLB,Chicago Cubs,St. Louis Cardinals,total,draftkings,,,102,-133,9.5
2026-07-03T20:41:40,2026-07-03,MLB,Chicago Cubs,St. Louis Cardinals,moneyline,betmgm,-155,125,,,
2026-07-03T20:41:40,2026-07-03,MLB,Chicago Cubs,St. Louis Cardinals,spread,betmgm,140,-185,,,
2026-07-03T20:41:40,2026-07-03,MLB,Chicago Cubs,St. Louis Cardinals,total,betmgm,,,-120,-105,8.5
2026-07-03T20:41:40,2026-07-03,MLB,Washington Nationals,Pittsburgh Pirates,moneyline,fanduel,-148,126,,,
2026-07-03T20:41:40,2026-07-03,MLB,Washington Nationals,Pittsburgh Pirates,spread,fanduel,138,-166,,,
2026-07-03T20:41:40,2026-07-03,MLB,Washington Nationals,Pittsburgh Pirates,total,fanduel,,,-115,-105,9.5
2026-07-03T20:41:40,2026-07-03,MLB,Washington Nationals,Pittsburgh Pirates,moneyline,draftkings,-150,124,,,
2026-07-03T20:41:40,2026-07-03,MLB,Washington Nationals,Pittsburgh Pirates,spread,draftkings,139,-169,,,
2026-07-03T20:41:40,2026-07-03,MLB,Washington Nationals,Pittsburgh Pirates,total,draftkings,,,-116,-104,9.5
2026-07-03T20:41:40,2026-07-03,MLB,Washington Nationals,Pittsburgh Pirates,moneyline,betmgm,-155,125,,,
2026-07-03T20:41:40,2026-07-03,MLB,Washington Nationals,Pittsburgh Pirates,spread,betmgm,135,-165,,,
2026-07-03T20:41:40,2026-07-03,MLB,Washington Nationals,Pittsburgh Pirates,total,betmgm,,,-115,-105,9.5
2026-07-03T20:41:40,2026-07-03,MLB,New York Yankees,Minnesota Twins,moneyline,fanduel,-220,184,,,
2026-07-03T20:41:40,2026-07-03,MLB,New York Yankees,Minnesota Twins,spread,fanduel,-108,-111,,,
2026-07-03T20:41:40,2026-07-03,MLB,New York Yankees,Minnesota Twins,total,fanduel,,,-122,100,9.5
2026-07-03T20:41:40,2026-07-03,MLB,New York Yankees,Minnesota Twins,moneyline,draftkings,-220,179,,,
2026-07-03T20:41:40,2026-07-03,MLB,New York Yankees,Minnesota Twins,spread,draftkings,-107,-112,,,
2026-07-03T20:41:40,2026-07-03,MLB,New York Yankees,Minnesota Twins,total,draftkings,,,-104,-116,10.0
2026-07-03T20:41:40,2026-07-03,MLB,New York Yankees,Minnesota Twins,moneyline,betmgm,-220,180,,,
2026-07-03T20:41:40,2026-07-03,MLB,New York Yankees,Minnesota Twins,total,betmgm,,,-102,-118,10.0
2026-07-03T20:41:40,2026-07-03,MLB,Cincinnati Reds,Baltimore Orioles,moneyline,fanduel,106,-124,,,
2026-07-03T20:41:40,2026-07-03,MLB,Cincinnati Reds,Baltimore Orioles,spread,fanduel,-152,126,,,
2026-07-03T20:41:40,2026-07-03,MLB,Cincinnati Reds,Baltimore Orioles,total,fanduel,,,-105,-115,10.5
2026-07-03T20:41:40,2026-07-03,MLB,Cincinnati Reds,Baltimore Orioles,moneyline,draftkings,102,-123,,,
